,id,full_name,surname,name,paternal,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year,off,income_vs_salary,income_vs_family,land_vs_family,flat_vs_family,house_vs_family,cars_vs_family,link,,,name1,,
2971,chesno_361,Іоффе Юлій Якович,Іоффе,Юлій,Якович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2011,"1,100,852.00",2217502,601198,0,0,0,0,0,310054,429702,0,0,0,0,5116927,0,204.9,0,0,0,0,0,1,0,0,0,Hyundai XG 3497 см3,,2004,,парламент,1.831097243,2.014350703,0,0,0,0,http://declarations.com.ua/declaration/chesno_361,,,Іоффе,Юлій,Якович
6517,vulyk_7_6,Ніконов Ігор Володимирович,Ніконов,Ігор,Володимирович,перший заступник голови київської міської державної адмінстрації,Київська міська державна адміністрація,м. Київ,2014,"1,105,612.00",3857739,28125,19948,0,0,0,0,0,0,0,0,0,0,2744998,795585,368.1,226.47,1191.4,0,2360,0,0,5,0,0,;;;;,Mercedes-Benz G500;Maybach 57;Mercedes-Benz GL-63AMG;Ford Transit;Honda CR-V,;;;;,2010;2007;2008;2012;2012,адміністрація,39.31064889,3.489234017,0,0.6152404238,0,1000000,http://declarations.com.ua/declaration/vulyk_7_6,,,Ніконов,Ігор,Володимирович
3141,chesno_2288,Кузьменко Анатолій Іванович,Кузьменко,Анатолій,Іванович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,109,499.00",17985,443603,0,0,0,0,0,600320,0,0,0,0,0,0,0,0,0,259.5,60,0,0,2,0,0,0,Toyota Avensis 1800;Volkswagen Tiguan 1968,,2008;2013,,парламент,2.501107973,0.01621001912,0,0,0.2312138728,0,http://declarations.com.ua/declaration/chesno_2288,,,Кузьменко,Анатолій,Іванович
8629,chesno_2607,Мушак Олексій Петрович,Мушак,Олексій,Петрович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,109,609.00",42853.45,6109,21328.57,0,0,0,0,0,0,0,21530.88,0,0,50000,0,74.1,0,283.9,82,0,0,1,2,0,0,"Kia Cee'd 1591 куб.см,  95 кВт, 426 см","Nissan Tiida 1598 куб.см., 110 к.с., 81 кВт, 430,3 см;Volkswagen Caddy 1598 куб.см, 75 кВт, 440,6 см",2008,2008;2012,парламент,181.6351285,0.0386203158,0,0,0.2888340965,2,http://declarations.com.ua/declaration/chesno_2607,,,Мушак,Олексій,Петрович
578,chesno_472,Шкіря Ігор Миколайович,Шкіря,Ігор,Миколайович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2011,"1,113,052.00",285964,174247,77000,0,0,0,0,903955,172964,34850,0,0,0,1172169,0,156,253,0,0,0,0,0,1,0,0,,"Mercedes-Benz  1998 см3, 135 кВт, 497 см",,2004,парламент,6.38778286,0.2569188142,0,1.621794872,0,1000000,http://declarations.com.ua/declaration/chesno_472,,,Шкіря,Ігор,Миколайович
11259,chesno_2355,Матвієнков Сергій Анатолійович,Матвієнков,Сергій,Анатолійович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,118,084.00",0,159164,0,0,0,0,0,958920,0,0,0,0,0,0,57277,351.5,0,0,0,0,0,0,2,0,0,,"Volkswagen Tiguan 2000 куб. см, 125 кВт;Audi Q7 3000 куб. см, 180 кВт",,2010;2012,парламент,7.02472921,0,0,0,0,1000000,http://declarations.com.ua/declaration/chesno_2355,,,Матвієнков,Сергій,Анатолійович
8512,chesno_2384,Шенцев Дмитро Олексійович,Шенцев,Дмитро,Олексійович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,118,503.74",528651.74,142046.25,112275,0,0,0,0,580009.75,396447.74,0,0,0,0,605184,0,363.8,204,0,600,0,0,1,2,0,0,Lexus LS 406 L 4.806,Porsche Cayenne GTS 4.806;Land Rover Range Rover Autobiography 4.397,2007,2013;2011,парламент,7.874222234,0.4726419064,0,0.5607476636,1000000,2,http://declarations.com.ua/declaration/chesno_2384,,,Шенцев,Дмитро,Олексійович
8103,vulyk_1_628,Грабовецька Наталія Володимирівна,Грабовецька,Наталія,Володимирівна,"начальник відділу з питань гуманітарного законодавства Управління державної реєстрації нормативно-правових актів Департаменту реєстрації та систематизації нормативних актів, правоосвітньої діяльності",Міністерство юстиції,,2013,"1,132,500.00",155000,0,50000,0,0,0,0,0,1.00E+05,0,5000,0,0,4.00E+05,0,105,47.6,0,0,500,0,1,1,0,0,Mercedes-Benz A 150;;;;;,Lexus LX-460;;;;;,2008;;;;;,2008;;;;;,юстиція,0,0.1368653422,0,0.4533333333,0,1,http://declarations.com.ua/declaration/vulyk_1_628,,,Грабовецька,Наталія,Володимирівна
3166,9,Ковзель Петро Олегович,Ковзель,Петро,Олегович,Суддя,Адміністративний місцевий суд,м. Київ,2013,"1,137,569.00",0,0,0,0,0,0,0,79528,0,0,0,1058041,0,0,0,224.1,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;,суд,0,0,0,0,0,0,http://declarations.com.ua/declaration/9,,,Ковзель,Петро,Олегович
8565,chesno_201,Мельничук Лариса Юріївна,Мельничук,Лариса,Юріївна,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2012,"1,138,843.00",2844906,1138843,376110,0,0,0,0,0,2468796,0,0,0,0,16700000,0,96.5,96.5,450,0,0,0,2,1,0,0,Lexus RX 300 3000 куб. см;Hyundai Elantra 1600 куб. см,Lexus RX 460 4600 куб. см,2005;2004,2010,парламент,1,2.498066898,0,1,0,0.5,http://declarations.com.ua/declaration/chesno_201,,,Мельничук,Лариса,Юріївна
