"","headline","url","date_time"
"80","Незаконне збагачення: Порошенко вніс новий законопроект - текст","https://ua-news.liga.net/politics/news/nezakonne-zbagachennya-poroshenko-vnis-noviy-zakonoproekt---tekst","2019-02-28 13:54:10"
"81","У Конгресі США зацікавилися доходами Путіна","https://ua-news.liga.net/world/news/u-kongresi-ssha-zatsikavilisya-dohodami-putina","2019-02-28 12:57:44"
"82","Євробачення-2019: організатори відреагували на відмову України","https://ua-news.liga.net/culture/news/evrobachennya-2019-organizatori-vidreaguvali-na-vidmovu-ukraini","2019-02-28 09:57:47"
"83","Саміт Трамп-Кім завершився провалом: домовленості немає","https://ua-news.liga.net/world/news/samit-tramp-kim-zavershivsya-provalom-domovlenosti-nemae","2019-02-28 09:29:28"
"84","Україна не братиме участі в Євробаченні в цьому році","https://ua-news.liga.net/politics/news/ukraina-ne-bratime-uchasti-v-evrobachenni-v-tsomu-rotsi","2019-02-27 18:35:44"
"85","Закриття справ, брехня в деклараціях: наслідки рішення КСУ","https://ua-news.liga.net/politics/news/zakrittya-sprav-brehnya-v-deklaratsiyah-naslidki-rishennya-ksu","2019-02-27 14:37:07"
"86","14 з 18. Хто в КСУ скасував антикорупційну статтю: список","https://ua-news.liga.net/politics/news/14-z-18-hto-v-ksu-skasuvav-antikoruptsiynu-stattyu-spisok","2019-02-27 12:19:16"
"87","За рік партії в Раді витратили рекордні 700 млн грн - КВУ","https://ua-news.liga.net/politics/news/za-rik-partii-v-radi-vitratili-rekordni-700-mln-grn---kvu","2019-02-27 11:48:46"
"88","""Відправимо Винника або Зіброва"". Соцмережі про Євробачення","https://ua-news.liga.net/culture/articles/vidpravimo-vinnika-abo-zibrova-sotsmereji-pro-evrobachennya","2019-02-26 15:03:58"
"89","Порошенко: Гладковського - усунути, сюжет - перевірити","https://ua-news.liga.net/politics/news/poroshenko-gladkovskogo---usunuti-syujet---pereviriti","2019-02-26 14:42:48"
"90","Рада схвалила допуск підрозділів НАТО в Україну","https://ua-news.liga.net/politics/news/rada-shvalila-dopusk-pidrozdiliv-nato-v-ukrainu","2019-02-26 13:33:07"
"91","Бойовики встановили терміни отримання псевдопаспортів - джерела","https://ua-news.liga.net/cryminal/news/boyoviki-vstanovili-termini-otrimannya-psevdopasportiv---djerela","2019-02-26 11:32:09"
"92","Екс-главу Генштабу ЗСУ Володимира Заману взяли під варту - ГПУ","https://ua-news.liga.net/politics/news/eks-glavu-genshtabu-zsu-volodimira-zamanu-vzyali-pid-vartu---gpu","2019-02-26 10:36:52"
"93","Підрив мікроавтобуса в окупованому Донбасі: є жертви","https://ua-news.liga.net/cryminal/news/pidriv-mikroavtobusa-v-okupovanomu-donbasi-e-jertvi","2019-02-26 10:18:39"
"94","Вихідні в березні: скільки днів відпочиватимуть українці","https://ua-news.liga.net/society/news/vihidni-v-berezni-skilki-dniv-vidpochivatimut-ukraintsi","2019-02-26 09:33:49"
"95","Вибори-2019. Аваков повідомив про справу проти кандидата","https://ua-news.liga.net/politics/news/vibori-2019-avakov-povidomiv-pro-spravu-proti-kandidata","2019-02-25 17:51:34"
"96","Екс-начальника Генштабу Заману підозрюють у зраді","https://ua-news.liga.net/politics/news/eks-nachalnika-genshtabu-zamanu-pidozryuyut-u-zradi","2019-02-25 14:59:05"
"97","Зеленський - 26%, Порошенко - 18%: опитування КМІС","https://ua-news.liga.net/politics/news/zelenskiy---26-poroshenko---18-opituvannya-kmis","2019-02-25 13:58:14"
"98","Які партії пройшли б в ВР, якщо вибори - в лютому: опитування","https://ua-news.liga.net/politics/news/yaki-partii-proyshli-b-v-vr-yakscho-vibori---v-lyutomu-opituvannya","2019-02-25 13:34:33"
"99","ГПУ назвала сім військових РФ, підозрюваних в захопленні кораблів","https://ua-news.liga.net/politics/news/gpu-nazvala-sim-viyskovih-rf-pidozryuvanih-v-zahoplenni-korabliv","2019-02-25 11:49:10"
"100","Лукашенко підтримав Путіна в ракетному протистоянні з США","https://ua-news.liga.net/world/news/lukashenko-pidtrimav-putina-v-raketnomu-protistoyanni-z-ssha","2019-02-22 17:09:00"
