year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,3,"Державне підприємство ""Смоли""",30168850,ДП,працює,,0.0,94.7,0.0,122.9,1.0,184.8,1.0,100.0,1.0,0.0,0.0,2.8,0.0,82.5,3.0,0.7,0.0,-0.1,0.0,-0.1,0.0,89.5,0.0,,0.0,6.0,неефективна
2019,3,"ДП ""ОС ""МАСМА-СЕПРО""",31107102,ДП,працює,,2.0,104.5,1.0,107.8,1.0,100.0,1.0,180.0,1.0,0.0,0.0,0.0,0.0,166.7,5.0,6.7,1.0,11.2,1.0,0.9,1.0,84.0,0.0,,0.0,14.0,ефективна
2019,3,"Державне підприємство ""Бар'єр""",31330051,ДП,працює,180.5,0.0,144.8,1.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.7,0.0,0.0,0.0,-0.6,0.0,-0.9,0.0,65.7,1.0,,0.0,2.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МИРНОГРАДВУГІЛЛЯ""",32087941,ДП,працює; перебуває у процедурі банкрутства,37.4,1.0,113.5,1.0,77.8,0.0,0.0,0.0,100.0,1.0,0.0,0.0,33.4,0.0,114.0,0.0,0.1,0.0,-0.9,0.0,-2.3,0.0,68.4,1.0,,0.0,4.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПЕРВОМАЙСЬКВУГІЛЛЯ""",32320594,ДП,працює; перебуває у процедурі реорганізації,132.6,0.0,112.8,1.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,111.0,0.0,0.2,0.0,-0.7,0.0,-2.0,0.0,62.9,1.0,,0.0,2.0,неефективна
2019,3,ДП Львіввугілля,32323256,ДП,працює; перебуває у процедурі реорганізації,,2.0,110.0,1.0,148.0,1.0,124.8,1.0,100.0,1.0,0.0,0.0,30.7,0.0,10077.2,0.0,0.2,0.0,-0.7,0.0,-1.5,0.0,65.8,1.0,,0.0,7.0,неефективна
2019,3,"ДП ""Волиньвугілля""",32365965,ДП,працює; перебуває у процедурі реорганізації,67.4,1.0,124.0,1.0,91.7,0.0,0.0,0.0,270.0,1.0,0.0,0.0,6.1,0.0,253.3,0.0,0.1,0.0,-0.9,0.0,-8.2,0.0,90.0,0.0,,0.0,3.0,неефективна
2019,3,"ДП ""Регіональні електричні мережі""",32402870,ДП,працює; перебуває у процедурі банкрутства - розпорядження майном,57.8,1.0,115.7,1.0,117.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,48.0,3.0,0.8,0.0,-0.2,0.0,-0.3,0.0,95.3,0.0,,0.0,7.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРШАХТГІДРОЗАХИСТ""",32442405,ДП,працює; перебуває у процедурі реорганізації,106.0,0.0,104.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.7,0.0,0.0,0.0,-0.8,0.0,-2.1,0.0,47.1,1.0,,0.0,2.0,неефективна
2019,3,"Державне підприємство ""38 відділ інженерно-технічних частин""",33127487,ДП,працює,,2.0,116.0,1.0,158.8,1.0,130.5,1.0,86.4,0.0,0.0,0.0,2190.0,1.0,116.7,5.0,1.7,1.0,0.8,0.0,0.1,0.0,73.4,0.0,,0.0,12.0,ефективна
